Source,Target,Type,Id,Label,timeset,Weight
UCWoZ2xMeLQf2UMZOA7mpD8A,UCK09g6gYGMvU-0x1VCF1hgA,Directed,67839,,,1
UCDA0kTKxTPI9KzfmxMpoRFA,UCD8bmW4A7eYzHrW7sXwsqwQ,Directed,68394,,,1
UClYmz-lY7nCeAdorU9roAHQ,UCK09g6gYGMvU-0x1VCF1hgA,Directed,69353,,,1
UCa5zQvJmCrVJQ7TfrDexflQ,UCK09g6gYGMvU-0x1VCF1hgA,Directed,71005,,,1
UCa5zQvJmCrVJQ7TfrDexflQ,UC2C_jShtL725hvbm1arSV9w,Directed,71044,,,1
UCGtBFfGBnYgLqiLhbYiK8_Q,UCwnKziETDbHJtx78nIkfYug,Directed,71531,,,1
UC-7gjx7fVJHgxyzhhpo36gg,UCRds47MZ1Ng7KCLseg2TkWA,Directed,71976,,,1
UCcJvUOWmkU_pt68SOQ-q1tg,UCQGqX5Ndpm4snE0NTjyOJnA,Directed,73048,,,1
UCkrU5Xl15ezatdnnvgtjj6A,UCLoNQH9RCndfUGOb2f7E1Ew,Directed,73453,,,1
UCkrU5Xl15ezatdnnvgtjj6A,UCD8bmW4A7eYzHrW7sXwsqwQ,Directed,73462,,,1
UCkrU5Xl15ezatdnnvgtjj6A,UCwnKziETDbHJtx78nIkfYug,Directed,73467,,,1
UCNXPoa1y7S3UOBDJeGbb8nA,UCRds47MZ1Ng7KCLseg2TkWA,Directed,74882,,,1
UCEV-6jQhYIJpnYEYmiDCw3w,UCwnKziETDbHJtx78nIkfYug,Directed,75222,,,1
UCIBS40e4HtU6TSqneQGac3g,UCwnKziETDbHJtx78nIkfYug,Directed,75328,,,1
UCxTSG0rzzGTIzQWGqCiaJgg,UCwnKziETDbHJtx78nIkfYug,Directed,75446,,,1
UCQhCYMG_lUmZbMJ8e8KtojA,UClvD6c1VI75QZWJjA_yiWhg,Directed,75774,,,1
UCXoPri-Nom-U13rgHoDX58A,UCwnKziETDbHJtx78nIkfYug,Directed,77592,,,1
UCIaH6pLZyUsBUXuYg0yWc1g,UCFWjEwhX6cSAKBQ28pufG3w,Directed,77635,,,1
UCIaH6pLZyUsBUXuYg0yWc1g,UCK09g6gYGMvU-0x1VCF1hgA,Directed,77655,,,1
UCnVNxOYlfkyvmdHeSif9xog,UCFWjEwhX6cSAKBQ28pufG3w,Directed,77658,,,1
UCnVNxOYlfkyvmdHeSif9xog,UCLoNQH9RCndfUGOb2f7E1Ew,Directed,77669,,,1
UCtqytBKHsXj4WSyUiSBdY7Q,UCeNbszrEiBC5Nv53Cr5UViw,Directed,77926,,,1
UCtqytBKHsXj4WSyUiSBdY7Q,UC2C_jShtL725hvbm1arSV9w,Directed,77936,,,1
UCIaVBIAmXOXZjsR6cW9Fl7Q,UCwnKziETDbHJtx78nIkfYug,Directed,78008,,,1
UChENffr08FIKf-9ZFf2R2nQ,UCFWjEwhX6cSAKBQ28pufG3w,Directed,78113,,,1
UChENffr08FIKf-9ZFf2R2nQ,UCD8bmW4A7eYzHrW7sXwsqwQ,Directed,78140,,,1
UCEnwq4vwiWuq_15kkEWgxVw,UCK09g6gYGMvU-0x1VCF1hgA,Directed,78647,,,1
UCU4GLwSst3ADUwF3yxU9KLw,UCFWjEwhX6cSAKBQ28pufG3w,Directed,79600,,,1
UCU4GLwSst3ADUwF3yxU9KLw,UCwnKziETDbHJtx78nIkfYug,Directed,79608,,,1
UCXA0B7hF3w1RtWWngbfXhKw,UClvD6c1VI75QZWJjA_yiWhg,Directed,80080,,,1
UCXA0B7hF3w1RtWWngbfXhKw,UCK09g6gYGMvU-0x1VCF1hgA,Directed,80097,,,1
UCCr-efraf1a6kJYSfk4hEJw,UCwnKziETDbHJtx78nIkfYug,Directed,80305,,,1
UCCr-efraf1a6kJYSfk4hEJw,UCFWjEwhX6cSAKBQ28pufG3w,Directed,80314,,,1
UCCr-efraf1a6kJYSfk4hEJw,UCD8bmW4A7eYzHrW7sXwsqwQ,Directed,80340,,,1
UCkzVLpb-q9PSGuGS_JseSuQ,UCwnKziETDbHJtx78nIkfYug,Directed,80413,,,1
UCVMZcF6EYilk4OeiBc3pFkA,UClvD6c1VI75QZWJjA_yiWhg,Directed,80814,,,1
UC9t7Z-Nj2ivn4CLjNlql_Zg,UCRds47MZ1Ng7KCLseg2TkWA,Directed,80992,,,1
UC9t7Z-Nj2ivn4CLjNlql_Zg,UCQGqX5Ndpm4snE0NTjyOJnA,Directed,80993,,,1
UCIhG-nBmr2cY56zx5eYza_Q,UCQGqX5Ndpm4snE0NTjyOJnA,Directed,81567,,,1
UCIhG-nBmr2cY56zx5eYza_Q,UCRds47MZ1Ng7KCLseg2TkWA,Directed,81577,,,1
UCM4kqt2ysXriXBuVXEyM8kA,UCLoNQH9RCndfUGOb2f7E1Ew,Directed,83283,,,1
UCM4kqt2ysXriXBuVXEyM8kA,UCD8bmW4A7eYzHrW7sXwsqwQ,Directed,83287,,,1
UCKN-Sj-WC20GC_J9C2AVbBw,UClvD6c1VI75QZWJjA_yiWhg,Directed,84052,,,1
UCKN-Sj-WC20GC_J9C2AVbBw,UCLoNQH9RCndfUGOb2f7E1Ew,Directed,84064,,,1
UC6ZyJck124zdQSbBG6Jvmvg,UCQGqX5Ndpm4snE0NTjyOJnA,Directed,84099,,,1
UCKA8QwWgIBFBmlQANI3GUMg,UCQGqX5Ndpm4snE0NTjyOJnA,Directed,84458,,,1
UCH8TETd1IZw6IG5iBjAv8Nw,UClvD6c1VI75QZWJjA_yiWhg,Directed,84751,,,1
UCPRAUoP6BJfaqmmFAGMVglw,UCRds47MZ1Ng7KCLseg2TkWA,Directed,84879,,,1
UCHdyRyUrVQks3Y6pnMUwckw,UCD8bmW4A7eYzHrW7sXwsqwQ,Directed,85094,,,1
UC_3IK1GuMKm1erzMzH-a9yA,UCwnKziETDbHJtx78nIkfYug,Directed,85362,,,1
UC_3IK1GuMKm1erzMzH-a9yA,UCeNbszrEiBC5Nv53Cr5UViw,Directed,85367,,,1
UCMgSpFZHf5L23bEldDYKK4A,UClvD6c1VI75QZWJjA_yiWhg,Directed,85598,,,1
UCmFuO4UJudznYS4MlS5wl1A,UCFWjEwhX6cSAKBQ28pufG3w,Directed,85813,,,1
UC-Hy-4BEUIX7hDeVaODcIfg,UClvD6c1VI75QZWJjA_yiWhg,Directed,85939,,,1
UC-Hy-4BEUIX7hDeVaODcIfg,UCFWjEwhX6cSAKBQ28pufG3w,Directed,85942,,,1
UC-Hy-4BEUIX7hDeVaODcIfg,UC2C_jShtL725hvbm1arSV9w,Directed,85961,,,1
UC-Hy-4BEUIX7hDeVaODcIfg,UCRds47MZ1Ng7KCLseg2TkWA,Directed,85968,,,1
UCn4UDdcn3Gmbsusa5AyGFMA,UCQGqX5Ndpm4snE0NTjyOJnA,Directed,86045,,,1
UCiHpnJOdAYnIQSUwYDa2E1w,UCK09g6gYGMvU-0x1VCF1hgA,Directed,86908,,,1
UCHtO2Iq7C1bZ7sdWcB0U2yg,UCK09g6gYGMvU-0x1VCF1hgA,Directed,87603,,,1
UCV95IGa1LpyXG5zS-mgKD0Q,UCRds47MZ1Ng7KCLseg2TkWA,Directed,88283,,,1
UCV95IGa1LpyXG5zS-mgKD0Q,UCklesbq7pc_XIaCvpZvG4QQ,Directed,88303,,,1
UCV95IGa1LpyXG5zS-mgKD0Q,UClvD6c1VI75QZWJjA_yiWhg,Directed,88306,,,1
UCTjNGGhgDagrkWO4SXa5F5A,UCFWjEwhX6cSAKBQ28pufG3w,Directed,89227,,,1
UCTjNGGhgDagrkWO4SXa5F5A,UCRds47MZ1Ng7KCLseg2TkWA,Directed,89244,,,1
UCHxJfblqf3iyxTTd3GXtRXA,UCwnKziETDbHJtx78nIkfYug,Directed,89571,,,1
UCHxJfblqf3iyxTTd3GXtRXA,UCFWjEwhX6cSAKBQ28pufG3w,Directed,89587,,,1
