Source,Target,Type,Rel 
lil_game_vip,agafonme,Directed,Retweet
milagenina,agafonme,Directed,Retweet
mishka_bagirov,agafonme,Directed,Retweet
sasha_berezhnoy,agafonme,Directed,Retweet
sbelov_,agafonme,Directed,Retweet
uliabelushiva,agafonme,Directed,Retweet
varvara_kabanov,agafonme,Directed,Retweet
agata_alexeeva,novostispb,Directed,Retweet
agata_alexeeva,riafanru,Directed,Retweet
agata_alexeeva,zubovnik,Directed,Retweet
agitpolk,bydrbre_,Directed,Retweet
agitpolk,kadirovrussia,Directed,Retweet
agitpolk,lavrovmuesli,Directed,Retweet
agitpolk,margosavazh,Directed,Retweet
agitpolk,novostispb,Directed,Retweet
agitpolk,russianallies,Directed,Retweet
comradzampolit,agitpolk,Directed,Retweet
lavrovmuesli,agitpolk,Directed,Retweet
agnesgrhm,andyhashtagger,Directed,Retweet
agnesgrhm,booth_prince,Directed,Retweet
agnesgrhm,chrixmorgan,Directed,Retweet
agnesgrhm,srahse,Directed,Retweet
ah_veroniki,lenkaspb,Directed,Retweet
ah_veroniki,maxdementiev,Directed,Retweet
ah_veroniki,riafanru,Directed,Retweet
ah_veroniki,zubovnik,Directed,Retweet
ahmadradjab,mahmoudassibayi,Directed,Retweet
ahmadradjab,riafanru,Directed,Retweet
ahmadradjab,warfareww,Directed,Retweet
husseinassahafi,ahmadradjab,Directed,Retweet
musamuhmuh,ahmadradjab,Directed,Retweet
radsabrad,ahmadradjab,Directed,Retweet
ahmadyousef23,warfareww,Directed,Retweet
ahnordyk,maxdementiev,Directed,Retweet
ahnordyk,novostispb,Directed,Retweet
ahnordyk,oh_misspizza,Directed,Retweet
ahnordyk,riafanru,Directed,Retweet
ahogan_am,aiden7757,Directed,Retweet
ahogan_am,andyhashtagger,Directed,Retweet
ahogan_am,booth_prince,Directed,Retweet
ahogan_am,charlesjharper,Directed,Retweet
ahogan_am,jarrardnorman,Directed,Retweet
aiden7757,booth_prince,Directed,Retweet
aiden7757,chrixmorgan,Directed,Retweet
aiden7757,daltonwood14,Directed,Retweet
aiden7757,ilikebigbuttand,Directed,Retweet
aiden7757,jenn_abrams,Directed,Retweet
aiden7757,politweecs,Directed,Retweet
aiden7757,thefoundingson,Directed,Retweet
chrixmorgan,aiden7757,Directed,Retweet
amymusicll,aiden7757,Directed,Retweet
arielshining,aiden7757,Directed,Retweet
bruciedublin,aiden7757,Directed,Retweet
loragreeen,aiden7757,Directed,Retweet
lynsrodriguez,aiden7757,Directed,Retweet
mable_landry,aiden7757,Directed,Retweet
choco_smells,akoromyslova,Directed,Retweet
genadiy_alex,akoromyslova,Directed,Retweet
geravareev,akoromyslova,Directed,Retweet
illi_alt,akoromyslova,Directed,Retweet
irenne_official,akoromyslova,Directed,Retweet
irina_genadievn,akoromyslova,Directed,Retweet
lenkaspb,akoromyslova,Directed,Retweet
rosist_n1,akoromyslova,Directed,Retweet
ta_m_a_rka,akoromyslova,Directed,Retweet
alberta_hayness,kyles0ccer,Directed,Retweet
jamiesamy,alberta_hayness,Directed,Retweet
albertmorenmore,glennharper_,Directed,Retweet
albertmorenmore,msheathowens,Directed,Retweet
albertmorenmore,screamymonkey,Directed,Retweet
aldrich420,ameliebaldwin,Directed,Retweet
aldrich420,andyhashtagger,Directed,Retweet
aldrich420,chesplayschess,Directed,Retweet
aldrich420,chrixmorgan,Directed,Retweet
aldrich420,jenn_abrams,Directed,Retweet
aldrich420,michellearry,Directed,Retweet
aldrich420,pati_cooper,Directed,Retweet
aldrich420,pigeontoday,Directed,Retweet
aldrich420,priceforpierce,Directed,Retweet
aldrich420,ten_gop,Directed,Retweet
archieolivers,aldrich420,Directed,Retweet
deusxyx,aldrich420,Directed,Retweet
happkendrahappy,aldrich420,Directed,Retweet
interfischer,aldrich420,Directed,Retweet
jeannemccarthy0,aldrich420,Directed,Retweet
jeffreykahunas,aldrich420,Directed,Retweet
lazykstafford,aldrich420,Directed,Retweet
mil0blake,aldrich420,Directed,Retweet
patriotblake,aldrich420,Directed,Retweet
priceforpierce,aldrich420,Directed,Retweet
westernwindwes,aldrich420,Directed,Retweet
alecmooooody,atlanta_online,Directed,Retweet
alecmooooody,baltimore0nline,Directed,Retweet
alecmooooody,blacknewsoutlet,Directed,Retweet
alecmooooody,blacktolive,Directed,Retweet
alecmooooody,bleepthepolice,Directed,Retweet
alecmooooody,blk_voice,Directed,Retweet
alecmooooody,dailysandiego,Directed,Retweet
alecmooooody,lagonehoe,Directed,Retweet
alecmooooody,trayneshacole,Directed,Retweet
alecmooooody,watchmewalkin,Directed,Retweet
aleksanisimof,comradzampolit,Directed,Retweet
aleksanisimof,maxdementiev,Directed,Retweet
aleksey_sokol_,androfag,Directed,Retweet
aleksey_sokol_,ankidinovakira,Directed,Retweet
aleksey_sokol_,anoraverd,Directed,Retweet
aleksey_sokol_,apuhna,Directed,Retweet
aleksey_sokol_,cychevmark,Directed,Retweet
aleksey_sokol_,denn_nikitin,Directed,Retweet
aleksey_sokol_,denniushak,Directed,Retweet
aleksey_sokol_,elnoxel,Directed,Retweet
aleksey_sokol_,emma_kvn,Directed,Retweet
aleksey_sokol_,gelenvag,Directed,Retweet
aleksey_sokol_,genadiy_alex,Directed,Retweet
aleksey_sokol_,jamimahdi,Directed,Retweet
aleksey_sokol_,karp_maks,Directed,Retweet
aleksey_sokol_,katka_hero,Directed,Retweet
aleksey_sokol_,kosdemo,Directed,Retweet
aleksey_sokol_,lara_kich,Directed,Retweet
aleksey_sokol_,ldm1900,Directed,Retweet
aleksey_sokol_,lugansknovosti,Directed,Retweet
aleksey_sokol_,margoveller,Directed,Retweet
aleksey_sokol_,marisha_zu,Directed,Retweet
aleksey_sokol_,new_ageofmee,Directed,Retweet
aleksey_sokol_,nickzlobin,Directed,Retweet
aleksey_sokol_,nikschehov,Directed,Retweet
aleksey_sokol_,nini_711,Directed,Retweet
aleksey_sokol_,novostidamask,Directed,Retweet
aleksey_sokol_,politvlast,Directed,Retweet
aleksey_sokol_,riafanru,Directed,Retweet
aleksey_sokol_,rusdum,Directed,Retweet
aleksey_sokol_,tazist,Directed,Retweet
aleksey_sokol_,vitanosova,Directed,Retweet
aleksey_sokol_,vovanabramkin,Directed,Retweet
aleksey_sokol_,zaplatovaalena,Directed,Retweet
aleksey_sokol_,zeldinnumber1,Directed,Retweet
denniushak,aleksey_sokol_,Directed,Retweet
dolgvlad,aleksey_sokol_,Directed,Retweet
kuznetsov_boris,aleksey_sokol_,Directed,Retweet
maks_dunay,aleksey_sokol_,Directed,Retweet
mama_russland,aleksey_sokol_,Directed,Retweet
miniakinandrew,aleksey_sokol_,Directed,Retweet
new_ageofmee,aleksey_sokol_,Directed,Retweet
pikinbogdan,aleksey_sokol_,Directed,Retweet
rus_anis,aleksey_sokol_,Directed,Retweet
smolnyvasiliy,aleksey_sokol_,Directed,Retweet
valeyina_dm,aleksey_sokol_,Directed,Retweet
vladevlanin,aleksey_sokol_,Directed,Retweet
vovanabramkin,aleksey_sokol_,Directed,Retweet
zazhilmikhail,aleksey_sokol_,Directed,Retweet
alenazeldina,batman_bane,Directed,Retweet
alenazeldina,lugansknovosti,Directed,Retweet
alenazeldina,margoveller,Directed,Retweet
alenazeldina,maxdementiev,Directed,Retweet
alenazeldina,novosticrimea,Directed,Retweet
alenazeldina,novostismr,Directed,Retweet
alenazeldina,novostispb,Directed,Retweet
alenazeldina,riafanru,Directed,Retweet
alenazeldina,zubovnik,Directed,Retweet
alex___ant,ankidinovakira,Directed,Retweet
alex___ant,coldwar20_ru,Directed,Retweet
alex___ant,davsiche,Directed,Retweet
alex___ant,donetsknovosti,Directed,Retweet
alex___ant,ldm1900,Directed,Retweet
alex___ant,rita_one_love,Directed,Retweet
alex___ant,velickayayekat,Directed,Retweet
alex_dugin,apuhna,Directed,Retweet
alex_dugin,cychevmark,Directed,Retweet
alex_dugin,donetsknovosti,Directed,Retweet
alex_dugin,edyardserg,Directed,Retweet
alex_dugin,georgiostr,Directed,Retweet
alex_dugin,grigadwin,Directed,Retweet
alex_dugin,ingerasimova,Directed,Retweet
alex_dugin,itsfoma,Directed,Retweet
alex_dugin,kostyaermilin,Directed,Retweet
alex_dugin,lugansknovosti,Directed,Retweet
alex_dugin,nadenkaavdeeva,Directed,Retweet
alex_dugin,nevnov_ru,Directed,Retweet
alex_dugin,novostiekb,Directed,Retweet
alex_dugin,novostikzn,Directed,Retweet
alex_dugin,novostimsk,Directed,Retweet
alex_dugin,novostinsk,Directed,Retweet
alex_dugin,novostismr,Directed,Retweet
alex_dugin,novostispb,Directed,Retweet
alex_dugin,novostiuf,Directed,Retweet
alex_dugin,riafanru,Directed,Retweet
alex_dugin,ruseye,Directed,Retweet
alex_dugin,ruslan_marlin,Directed,Retweet
alex_dugin,slavagolcev,Directed,Retweet
