screen_name,componentnumber,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
ItalyinIraq,0,0,0,0,0,6
GiuseppeConteIT,0,0,0,0,0,6
aalsayah,0,0,0,0,0,6
UNESCOarabic,0,0,0,0,0,17
talout313i,0,0,0,0,0,0
UNESCO,0,1,1,1,761.666667,17
UNESCOIraq,0,0,0,0,0,14
USIP,0,0,0,0,0,17
LahurTalabany,0,0,0,0,0,17
qubadjt,0,0,0,0,0,17
iraqDMC,0,0,0,0,0,17
AL_Khatteeb,0,2,0.597403,0.663043,222.866692,6
hzawati,0,0,0,0,0,6
DrAbbasKadhim,0,0,0,0,0,6
robinenergy,0,0,0,0,0,6
OxfordEnergy,0,0,0,0,0,6
MOEcenter2019,0,0,0,0,0,6
IraqiPMO,0,0,0,0,0,6
alihashem_tv,0,0,0,0,0,6
AFP,0,0,0,0,0,29
KFJ_FP,0,0,0,0,0,6
ForeignPolicy,0,0,0,0,0,6
iraqmedianet,0,0,0,0,0,6
IEABirol,0,0,0,0,0,6
IEA,0,0,0,0,0,6
KSAmofaEN,0,0,0,0,0,6
KingSalman,0,0,0,0,0,28
HeikoMaas,0,0,0,0,0,6
peteraltmaier,0,0,0,0,0,6
Khalid_AlFalih,0,0,0,0,0,6
akklaph,0,3,0.747967,0.835145,460.107168,7
3hanthala,0,0,0,0,0,7
srwa_qadir,0,0,0,0,0,19
abn_alrafden_,0,0,0,0,0,7
M_Alhamad40,0,0,0,0,0,7
kasimf,0,0,0,0,0,35
EfXu6ySYDYhHN1d,0,0,0,0,0,5
JasemMaradi,0,0,0,0,0,7
AlkhalifaHikmat,0,0,0,0,0,7
majedalbander21,0,0,0,0,0,7
hussien25166323,0,0,0,0,0,7
H22976020,0,0,0,0,0,7
3alijassim,0,0,0,0,0,7
C5qNNQiLwiOiooe,0,0,0,0,0,7
readh1382,0,0,0,0,0,7
kurdistanazada,0,0,0,0,0,7
saU8oWawIrkuzmZ,0,0,0,0,0,7
alialmuhani,0,0,0,0,0,7
whitefang1942,0,0,0,0,0,7
khldhmed,0,0,0,0,0,7
R2m3alz,0,0,0,0,0,7
raid_fahmi,0,0,0,0,0,7
MujtahidKURD,0,0,0,0,0,7
SulaimanAlfahd,0,0,0,0,0,7
l1x5sqccWLYG10c,0,0,0,0,0,7
AliAtuon,0,0,0,0,0,7
ibrahim89shahed,0,0,0,0,0,7
IraqiSpirit,0,0,0,0,0,7
sinanali03,0,0,0,0,0,7
alqaradawy,0,0,0,0,0,7
RxEQuEPkwKeCfEB,0,0,0,0,0,7
offical_kassar,0,0,0,0,0,7
abdalkarim1973,0,0,0,0,0,7
V1je4Jlx59btMHI,0,0,0,0,0,7
ooooooo424,0,0,0,0,0,7
noraq6877,0,0,0,0,0,7
wael_alshihaby,0,0,0,0,0,7
arkan13312927,0,0,0,0,0,7
Ahmedsa88310892,0,0,0,0,0,7
rashoodirasheed,0,0,0,0,0,7
MDFR20,0,0,0,0,0,7
samykleyb,0,0,0,0,0,7
BangenRe,0,0,0,0,0,7
aboasseal,0,0,0,0,0,7
adel87047544,0,0,0,0,0,7
FIFAcom,0,0,0,0,0,4
sh_assad1,0,0,0,0,0,4
IraqiObserved,0,0,0,0,0,4
lilitheve20,0,0,0,0,0,4
Observer46664,0,0,0,0,0,4
Iraqrock,0,0,0,0,0,4
_t8t87,0,0,0,0,0,4
smortadha,0,0,0,0,0,4
BasketsFX,0,0,0,0,0,4
MrsShadowgazer,0,0,0,0,0,4
IraqiSecurity,0,2,0.628571,0.704545,1482.7,8
bluekite21,0,0,0,0,0,4
karam___saad,0,0,0,0,0,4
AliAljumaily13,0,0,0,0,0,4
VargantSoul,0,0,0,0,0,4
Ako_gemini,0,0,0,0,0,4
Daniahusam95,0,0,0,0,0,4
huda_dleabiz,0,0,0,0,0,4
AhmedAlyassiry3,0,0,0,0,0,4
Rofaidayassin,0,0,0,0,0,4
zrsd93,0,0,0,0,0,4
FirasRashed4,0,0,0,0,0,4
malimusawi,0,0,0,0,0,8
7ayder87,0,0,0,0,0,4
Arabi21News,0,0,0,0,0,35
_STATELESS_,0,0,0,0,0,4
ban_layla89,0,0,0,0,0,4
